,index_x,College Name or Type,State,City,id,5,State_acronym,enrollment,group,index_y,location,name,public,rank,tuition
80,2954,top 50 lac,new york,,2955,,,,,,,,,,
81,2955,top 50 lac,massachusetts,,2956,,,,,,,,,,
82,2956,top 50 lac,new york,,2957,,,,,,,,,,
83,2957,top 50 lac,new jersey,,2958,,,,,,,,,,
84,2958,top 50 lac,,,2959,,,,,,,,,,
85,2962,top 5 liberal arts college,pennsylvania,philadelphia,2963,,,,,,,,,,
86,2963,top 5 liberal arts college,texas,,2964,,,,,,,,,,
87,2964,top 5 liberal arts college,massachusetts,amherst,2965,,ma,"1,849",national_lac,3,"Amherst, MA",amherst college,FALSE,2,"$54,310 "
88,2965,top 5 liberal arts college,washington - d.c.,,2966,,,,,,,,,,
89,2966,top 5 liberal arts college,california,,2967,,,,,,,,,,
90,2967,top 5 liberal arts college,,,2968,,,,,,,,,,
91,2982,top ten lac,new york,,2983,,,,,,,,,,
92,2983,top ten lac,pennsylvania,philadelphia,2984,,,,,,,,,,
93,2989,t30 liberal arts,pennsylvania,,2990,,,,,,,,,,
94,2990,t30 liberal arts,massachusetts,boston,2991,,,,,,,,,,
95,2991,t30 liberal arts,,,2992,,,,,,,,,,
96,3018,top 3 liberal arts,massachusetts,,3019,,,,,,,,,,
97,3019,top 3 liberal arts,massachusetts,amherst,3020,,ma,"1,849",national_lac,3,"Amherst, MA",amherst college,FALSE,2,"$54,310 "
98,3020,top 5 liberal arts c,,,3021,,,,,,,,,,
99,3021,top 20 liberal arts,new york,,3022,,,,,,,,,,
100,3022,top 20 liberal arts,new york,hamilton,3023,,ny,"2,882",national_lac,36,"Hamilton, NY",colgate university,FALSE,12,"$53,980 "
