,College Name or Type,guess,name,big10,pac,sisters,hbcu
756,t1 public,,,,,,
757,non hyp ivy,1,1,,,,
758,public- state,,,,,,
759,large state u,,,,,,
760,jmu,,1,,,,
761,university of california merce,,1,,,,
762,public/state,,,,,,
763,texas a&m university,,1,,,,
764,gmu,,1,,,,
765,johns hopkins,,1,,,,
766,university of maryland,,1,,,,
767,iv,1,1,,,,
768,private (top 50ish),1,1,,,,
769,top private (ivy),1,1,,,,
770,regional public medium-sized,,,,,,
771,the college,,,,,,
772,3.09,,,,,,
773,public top 5 cj program in nat,,,,,,
774,unc charlotte,,1,,,,
775,political science,,,,,,
776,mid-size,,,,,,
777,private top 30,1,1,,,,
778,b!g,,,,,,
779,towson university,,1,,,,
780,private (small),,,,,,
781,top 5 private college,1,1,,,,
782,"medium, public",,,,,,
783,uc san diego,,1,,,,
784,tulane,,1,,,,
785,carnegie mellon,,1,,,,
786,morehead state university,,1,,,,
787,small state,,,,,,
788,ranked ~60 private,1,1,,,,
789,private catholic,,,,,,
790,umich,,1,,,,
791,top 30 usnews,1,1,,,,
792,public university (uf),,1,,,,
793,private (bradley uni,,1,,,,
794,nescac,,1,,,,
795,drexel university,,1,,,,
796,ug-priv.:grd-pub,,,,,,
797,a good one!,,,,,,
798,harvard,,1,,,,
799,university of north florida,,1,,,,
800,university of nebraska lincoln,,1,,,,
801,small public 10k stu,,,,,,
802,to 10,1,1,,,,
803,top 50 lac,1,1,,,,
804,big 10 (uofi),,1,,,,
805,"private, top-20 university",1,1,,,,
806,top 25- public,1,1,,,,
807,top-50 private,1,1,,,,
808,private/loyola,,1,,,,
809,walla walla university,,1,,,,
810,university of texas at tyler,,1,,,,
811,the ohio state university,,1,,,,
812,univeristy of california,,1,,,,
813,big  public,,,,,,
814,major big 10 university,,,1,,,
815,ualbany,,1,,,,
816,seton hall universit,,1,,,,
817,top 5 liberal arts college,1,1,,,,
818,st. john's,,1,,,,
819,eastern kentucky university,,1,,,,
820,best public in the nation,,,,,,
821,2.75,,,,,,
822,major / public ivy,,,,,,
823,state/public,,,,,,
824,u of alabama-bham,,1,,,,
825,private r1,1,1,,,,
826,university of maryland--cp,,1,,,,
827,top 15 public university,1,1,,,,
828,"private, large",,,,,,
829,ivy league (cornell),,1,,,,
830,tt lib arts,,,,,,
831,brown,,1,,,,
832,top - ivy,1,1,,,,
833,military academy,,1,,,,
834,top hbcu,,,,,,1
835,washington universit,,1,,,,
836,b.a.,,,,,,
837,umkc,,1,,,,
838,prive,,,,,,
839,small college,,,,,,
840,small lib arts,,,,,,
841,top 5 canadian,,,,,,
842,private - ivy,1,1,,,,
843,university of florid,,1,,,,
844,major private,,,,,,
845,university of minnesota - twin,,1,,,,
846,public engineering,,,,,,
847,university of ---,,,,,,
848,public-suny,,1,,,,
849,big south,,,,,,
850,state school  - big10,,,1,,,
851,toppublic,,,,,,
852,state univ.,,,,,,
853,harding university,,1,,,,
854,top big ten school,,,1,,,
855,"university of california, san",,1,,,,
856,clark atlanta university,,1,,,,
857,"4 yr., public",,,,,,
858,"big 10, public",,,1,,,
859,university of kansas,,1,,,,
860,private/small,,,,,,
861,st. olaf college,,1,,,,
862,"private, near top ti",,,,,,
863,montclair state university,,1,,,,
864,university of pittsb,,1,,,,
