,acronym,full,full_select
41,cgu,Claremont Graduate University,Claremont Graduate University
42,chapel hill,University of North Carolina at Chapel Hill,University of North Carolina at Chapel Hill
43,charlotte,University of North Carolina at Charlotte,University of North Carolina at Charlotte
44,chatt state,Chattanooga State Community College,Chattanooga State Community College
45,chico state,"California State University, Chico","California State University, Chico"
46,city tech,New York City College of Technology,New York City College of Technology
47,cia,The Culinary Institute of America,The Culinary Institute of America
48,cmc,Claremont McKenna College,Claremont McKenna College
49,cmu,"Carnegie Mellon University, Central Michigan University",Carnegie Mellon University
50,cnu,Christopher Newport University,Christopher Newport University
51,coast guard,United States Coast Guard Academy,United States Coast Guard Academy
52,college park,"University of Maryland, College Park","University of Maryland, College Park"
53,colorado,University of Colorado Boulder,University of Colorado Boulder
54,colorado springs,University of Colorado Colorado Springs,University of Colorado Colorado Springs
55,csb/sju,College of Saint Benedict/Saint John's University,Saint John's University
56,csc,Castleton State College,Castleton State College
57,cse,College of Saint Elizabeth,College of Saint Elizabeth
58,csi,College of Staten Island,College of Staten Island
59,csu,"California State University, Cleveland State University, Colorado State University, Clayton State University, Coppin State University",California State University
60,csuf,"California State University, Fresno","California State University, Fresno"
61,csueb,"California State University, East Bay (formerly California State University, Hayward)","California State University, East Bay "
62,csula,"California State University, Los Angeles","California State University, Los Angeles"
63,csu-pueblo,Colorado State University-Pueblo,Colorado State University-Pueblo
64,csus,"California State University, Sacramento","California State University, Sacramento"
65,cu,"Chapman University, Clemson University, University of Colorado at Boulder, University of Colorado system, Columbia University, Cornell University, Creighton University",Chapman University
66,cumberlands,University of the Cumberlands,University of the Cumberlands
67,cuny,City University of New York,City University of New York
68,'cuse,Syracuse University,Syracuse University
69,dc,Davidson College,Davidson College
70,de anza,De Anza College,De Anza College
71,dpu,DePaul University,DePaul University
72,dsu,"DeSales University, Dakota State University",DeSales University
73,du,"Denison University, University of Denver, Drake University, Drexel University, Duke University, Duquesne University",Drake University
74,duke,Duke University,Duke University
75,ecu,East Carolina University,East Carolina University
76,eiu,Eastern Illinois University,Eastern Illinois University
77,emu,Eastern Mennonite University,Eastern Mennonite University
78,emu,Eastern Michigan University,Eastern Michigan University
79,enc,Eastern Nazarene College,Eastern Nazarene College
80,etsu,East Tennessee State University,East Tennessee State University
81,ewu,Eastern Washington University,Eastern Washington University
82,eku,Eastern Kentucky University,Eastern Kentucky University
83,f&m,Franklin & Marshall College,Franklin & Marshall College
84,famu,Florida A&M University,Florida A&M University
85,fau,Florida Atlantic University,Florida Atlantic University
86,fc,Founders College,Founders College
87,fdu,Fairleigh Dickinson University,Fairleigh Dickinson University
88,fgcu,Florida Gulf Coast University,Florida Gulf Coast University
89,fiu,Florida International University,Florida International University
90,foothill,Foothill College,Foothill College
91,fpu,Fresno Pacific University,Fresno Pacific University
92,fresno state,"California State University, Fresno","California State University, Fresno"
93,fsu,"Fayetteville State University, Ferris State University, Fitchburg State University, Florida State University, Framingham State University, California State University, Fresno, Frostburg State University",Florida State University
94,fu,"Fordham University,[1] Furman University[2]",Fordham University
95,gb,University of Wisconsin‰ÛÒGreen Bay,University of Wisconsin Green Bay
96,gcu,Grand Canyon University,Grand Canyon University
97,georgetown,Georgetown University,Georgetown University
98,georgia,University of Georgia,University of Georgia
99,georgia college,Georgia College & State University,Georgia College & State University
100,georgia tech,Georgia Institute of Technology,Georgia Institute of Technology
101,ggc,Georgia Gwinnett College,Georgia Gwinnett College
102,gmu,George Mason University,George Mason University
103,gonz,Gonzaga University,Gonzaga University
104,gsu,"Georgia Southern University, Georgia State University, Grambling State University",Georgia State University
105,gs,Georgia Southern University,Georgia Southern University
106,gt,Georgia Institute of Technology,Georgia Institute of Technology
107,gvsu,Grand Valley State University,Grand Valley State University
108,hiu,Hampton University (formerly Hampton Institute),Hampton University
109,hmc,Harvey Mudd College,Harvey Mudd College
110,hopkins,Johns Hopkins University,Johns Hopkins University
111,hu,"Howard University, Hampton University",Howard University
112,hsu,Humboldt State University,Humboldt State University
113,ic,Ithaca College,Ithaca College
114,iit,Illinois Institute of Technology,Illinois Institute of Technology
115,ipfw,Indiana University-Purdue University Fort Wayne,Indiana University-Purdue University Fort Wayne
116,isu,"Idaho State University, Illinois State University, Indiana State University, Iowa State University",Iowa State University
117,iup,Indiana University of Pennsylvania,Indiana University of Pennsylvania
118,iupui,Indiana University-Purdue University Indianapolis,Indiana University-Purdue University Indianapolis
119,iwu,Illinois Wesleyan University,Illinois Wesleyan University
120,iw,Iowa Wesleyan University,Iowa Wesleyan University
121,jhu,Johns Hopkins University,Johns Hopkins University
122,jmu,James Madison University,James Madison University
123,jwu,Johnson and Wales University,Johnson and Wales University
124,jsc,Johnson State College,Johnson State College
125,jsu,Jackson State University,Jackson State University
126,ju,Jacksonville University,Jacksonville University
127,k-state,Kansas State University,Kansas State University
128,ksu,"Kansas State University, Kennesaw State University, Kent State University, Kentucky State University",Kansas State University
129,ku,University of Kansas,University of Kansas
130,la tech,Louisiana Tech University,Louisiana Tech University
131,lc,Louisburg College,Louisburg College
132,lhu,Lock Haven University,Lock Haven University
133,liu,Long Island University,Long Island University
