,Major element,major guess,social sciences,arts & humanities,business & management,natural sciences,engineering,health professions,other
2408,talmudic law,Talmudic studies ,1,,,,,,
2409,two business majors,business and commerce ,,,1,,,,
2410,business honors progr,business,,,1,,,,
2411,east,east asian studies,,,,,,,
2412,pols  jour,journalism,1,,,,,,
2413,oceanography,oceanography,,,,1,,,
2414,behavior,behavior studies,,,,,,,
2415,master's of public health,pubic health,,,,,,1,
2416,pre med,pre medicine,,,,,,1,
2417,international affaira,international affairs,,,,,,,
2418,quadruple major,,,,,,,,
2419,econ pol sci,political science,,,,,,,
2420,policy stud,policy studies,,,,,,,
2421,family financial mgt,financial management,,,1,,,,
2422,sys,system engineering,,,,,1,,
2423,engg,engineering,,,,,1,,
2424,double arts major,arts,1,,,,,,
2425,something useless,,,,,,,,
2426,great books,,,,,,,,
2427,ms information bs behaviorism,behavior studies,,,,,,,
2428,honors poli sci,political science,,,,,,,
2429,party,,,,,,,,
2430,english  political science,political science,,,,,,,
2431,as am studies,Asian American studies,,,,,,,
2432,rba,business administration,,,1,,,,
2433,huge manatees,,,,,,,,
2434,phil double,philosophy,1,,,,,,
2435,visual culture,visual culture,1,,,,,,
2436,counselling psych,psychology,,,,,,,
2437,business admin with concrentra,business administration,,,1,,,,
2438,music industry manag,music management,,,1,,,,
2439,master's special education,special education,,,,,,,
2440,maritime af,maritime affairs,,,,,1,,
2441,secondary educ,secondary education,,,,,,,
2442,public communication,communications,1,,,,,,
2443,vocal performance,vocal performance,1,,,,,,
2444,foreign aff,foreign affairs,,,,,,,
2445,politicial sci,political science,,,,,,,
2446,history double,history,1,,,,,,
2447,secondary education social stu,secondary education,,,,,,,
2448,classical lang,language,1,,,,,,
2449,american s,American studies,,,,,,,
2450,child devel,child development,,,,,,,
2451,global security track,global security,,,,,,,
2452,psychology major,psychology,,,,,,,
2453,social is,social science,,,,,,,
2454,pub afrs,public affairs,,,,,,,
2455,double government,government,,,,,,,
2456,natural,natural,,,,1,,,
2457,pastoral studies,pastoral studies,1,,,,,,
2458,socl,sociology,,,,,,,
2459,eas,east asian studies,,,,,,,
2460,mangerial econ,managerial economics,,,1,,,,
2461,industrial eng,industrial engineering,,,,,1,,
2462,bs biology,biology,,,,1,,,
2463,english education,English ,1,,,,,,
2464,english creat,English ,1,,,,,,
2465,justice administration,justice administration,,,,,,,
2466,minor in histo,history,1,,,,,,
2467,geo,geography,1,,,,,,
2468,pjs,peace and justice studies,,,,,,,
2469,writing seminars,writing,1,,,,,,
