,Major element,major guess,social sciences,arts & humanities,business & management,natural sciences,engineering,health professions,other
1685,poli sci minor,political science,,,,,,,
1686,global politics,political theory,,,,,,,
1687,foreig,foreign studies,,,,,,,
1688,religous studies,religion studies,,,,,,,
1689,master organization,organizational management,,,1,,,,
1690,premedicine,pre medicine,,,,,,1,
1691,dfgsdfgdg,,,,,,,,
1692,slavic,Slavic studies,,,,,,,
1693,econ studies,economics,,,1,,,,
1694,telecommunications law,law,,,,,,,
1695,within the social sciences,social science,,,,,,,
1696,cjus,criminal justice,,,,,,,
1697,africana st,African studies,,,,,,,
1698,honors liberal arts,liberal arts,1,,,,,,
1699,english l,English,1,,,,,,
1700,polical sci,political science,,,,,,,
1701,social thought,social science,,,,,,,
1702,env policy,environmental policy,,,,,,,
1703,francophone studies,ethics,,,,,,,
1704,ethics politics,Political ethics,,,,,,,
1705,org leadership,organizational leadership,,,1,,,,
1706,government philosophy double,government and philosophy,,,,,,,
1707,service,,,,,,,,
1708,in psychology,psychology,,,,,,,
1709,healthcare,healthcare,,,,,,1,
1710,human behavior,human behavior,,,,,,,
1711,organizatio,organizational behavior,,,,,,,
1712,ba double major,business administration,,,1,,,,
1713,biomedical sciences,biomedical science,,,,1,,,
1714,journalism honors,journalism,1,,,,,,
1715,journali,journalism,1,,,,,,
1716,international market,marketing,,,1,,,,
1717,foreign lang,foreign language,1,,,,,,
1718,ag policy,agriculture policy,,,,,,,
1719,resource management,resource management,,,1,,,,
1720,bs psychology,psychology,,,,,,,
1721,phy,physics,,,,1,,,
1722,media technology,media technology,1,,,,,,
1723,bsed spanish,Spanish,1,,,,,,
1724,confli,conflict studies,,,,,,,
1725,crime law,law,,,,,,,
1726,economics double majo,economics,,,1,,,,
1727,am studies,American studies,,,,,,,
1728,busness,business,,,1,,,,
1729,environmental geology,environmental geology,,,,1,,,
1730,communication broadcasting,communication broadcasting,1,,,,,,
1731,diversity,,,,,,,,
1732,envs,environmental science,,,,1,,,
1733,romance lang,language,1,,,,,,
1734,dual eng,engineering,,,,,1,,
1735,ce,chemical engineering,,,,,1,,
1736,engineering psychology,engineering,,,,,1,,
1737,swedish,Swedish,1,,,,,,
1738,latinamericanstudies,Latin American studies,,,,,,,
1739,governmen,government,,,,,,,
1740,american p,,,,,,,,
1741,taxation,taxation  ,,,1,,,,
1742,ethics,ethics,,,,,,,
1743,blaw,law,,,,,,,
1744,two majors in humanities,humanities,1,,,,,,
1745,enterpreneurship,entrepreneurship,,,1,,,,
1746,entertainment manageme,entertainment management,,,1,,,,
1747,three,,,,,,,,
1748,libarts,liberal arts,1,,,,,,
1749,modern literature,literature,1,,,,,,
1750,public heal,public health,,,,,,1,
1751,undecided,,,,,,,,
1752,french literature,French literature,1,,,,,,
1753,am lit,American literature,1,,,,,,
1754,youth,youth studies,,,,,,,
1755,community scien,community science,,,,,,,
1756,masters,,,,,,,,
1757,latin american studie,Latin American studies,,,,,,,
1758,engineering technology,engineering,,,,,1,,
1759,double m,,,,,,,,
1760,molec,molecular biology,,,,1,,,
1761,literary journalism,journalism,1,,,,,,
1762,ethics society,ethics,,,,,,,
1763,engineerimg,engineering,,,,,1,,
1764,law min,law,,,,,,,
1765,legal studies i,legal studies,,,,,,,
1766,information systems security,information systems security,,,,,1,,
1767,yr architecture,architecture,,,,,1,,
1768,international financ,finance,,,1,,,,
1769,family se,,,,,,,,
1770,bussiness mgt,business management,,,1,,,,
1771,astrophysics,astrophysics,,,,1,,,
1772,'l politcal economy,political economics,,,,,,,
1773,humanity,humanities,1,,,,,,
1774,lots,,,,,,,,
1775,inr,,,,,,,,
1776,mkgt,marketing,,,1,,,,
1777,biomedical,biomedical science,,,,1,,,
1778,international r,international relations,,,,,,,
1779,pol econ,political economics,,,,,,,
1780,is a mid,,,,,,,,
1781,grade army o,,,,,,,,
1782,rank,,,,,,,,
1783,health sci,health science,,,,,,1,
1784,child advocacy,child advocacy studies,,,,,,,
1785,pysical education,physical education,,,,,,1,
1786,polit sci,political science,,,,,,,
1787,winning,,,,,,,,
1788,crafts,crafts,1,,,,,,
1789,wgs,gender studies,,,,,,,
1790,communication stud,communications,1,,,,,,
1791,tv production,television production,1,,,,,,
1792,immunology,immunology,,,,1,,,
1793,pharmaceutics,pharmaceutics,,,,,,1,
1794,business information,business management,,,1,,,,
1795,environmental studi,environmental studies,,,,1,,,
1796,construction managem,construction management,,,1,,,,
1797,politics economics,political economics,,,,,,,
1798,engl w,English,1,,,,,,
1799,govt minor,government,,,,,,,
1800,dual major,,,,,,,,
1801,chicana,,,,,,,,
1802,comm st,commerce,,,1,,,,
1803,adm,administration,,,1,,,,
1804,ist,,,,,,,,
1805,italian languag,Italian language,1,,,,,,
1806,bioethic,bioethics,,,,1,,,
1807,sociology honors,sociology,,,,,,,
1808,english for education,English education,,,,,,,
1809,writing concentration,writing,1,,,,,,
1810,wanna be doctor,,,,,,,,
1811,business communicati,communications,,,1,,,,
1812,not hard science,,,,,,,,
1813,regional development,regional development,,,,,,,
1814,spanish lan,Spanish,1,,,,,,
1815,classical la,classical language,1,,,,,,
1816,oh,,,,,,,,
1817,the humanities,humanities,1,,,,,,
1818,printing management,management,,,1,,,,
1819,health management,health management,,,,,,1,
1820,intl bus,international business,,,1,,,,
1821,saxophone performance,musical performance,1,,,,,,
1822,business minor,business,,,1,,,,
1823,governement,government,,,,,,,
1824,philosophy double,philosophy,1,,,,,,
1825,community s,community studies,,,,,,,
1826,russian language,Russian language,1,,,,,,
1827,dual major humanities,humanities,1,,,,,,
1828,social s,social science,,,,,,,
1829,honors arts,arts,1,,,,,,
1830,microbio,microbiology,,,,1,,,
1831,immuno,immunology,,,,1,,,
1832,hod,,,,,,,,
1833,classical lit,classical literature,1,,,,,,
1834,crim j,criminal justice,,,,,,,
1835,poli s,political science,,,,,,,
1836,international econ,economics,,,1,,,,
1837,ch e,chemical engineering,,,,,1,,
1838,envrnsci,environmental science,,,,1,,,
1839,crju,criminal justice,,,,,,,
1840,jazz composition,jazz performance,1,,,,,,
1841,entertainment manage,entertainment management,,,1,,,,
1842,broadcast,broadcasting,1,,,,,,
1843,economnic,economics,,,1,,,,
1844,economic philosophy psychology,economics,,,1,,,,
1845,wildlife ecology,wildlife ecology,,,,1,,,
1846,conservatio,,,,,,,,
1847,architectur,architecture,,,,,1,,
1848,social relations,social relations,,,,,,,
1849,divinity,,,,,,,,
1850,math minor,mathematics,,,,1,,,
1851,political science education,political science,,,,,,,
1852,russian studie,Russian studies,,,,,,,
1853,recording ind,recording industry,1,,,,,,
1854,managemane,management,,,1,,,,
1855,maj,,,,,,,,
1856,double history,history,1,,,,,,
1857,environmental engr,environmental engineering,,,,,1,,
1858,education secondary stem,secondary education,,,,,,,
1859,honors english literature,English literature,1,,,,,,
1860,africa,African studies,,,,,,,
1861,horticulture,horticulture,,,,1,,,
1862,comm pr,communications,1,,,,,,
1863,marketing comm,marketing,,,1,,,,
1864,poli sci dbl,political science,,,,,,,
1865,just,justice studies,,,,,,,
1866,intst,international studies,,,,,,,
1867,geog,geography,1,,,,,,
1868,marine sci,marine science,,,,1,,,
1869,info systems,information systems,,,,,1,,
1870,engineering related,engineering,,,,,1,,
1871,polisci econ,political science,,,,,,,
1872,ms chem,chemistry,,,,1,,,
1873,bachelor of commerce,commerce,,,1,,,,
1874,corp,,,,,,,,
1875,managerial finance,managerial finance,,,1,,,,
1876,biomedical engineeri,biomedical engineering,,,,,1,,
1877,information system technology,information system technology,,,,,1,,
1878,polt,political science,,,,,,,
1879,mol bio,molecular biology,,,,1,,,
1880,engl lit,English literature,1,,,,,,
1881,building construction,building construction,,,,,1,,
1882,law jurisprudence,law,,,,,,,
1883,social tho,sociology,,,,,,,
1884,nonp,,,,,,,,
1885,philosophy prelaw,philosophy,1,,,,,,
1886,comp eng,computer engineering,,,,,1,,
1887,adolescent eduction,adolescent education,,,,,,,
1888,hardish science,science,,,,1,,,
1889,classi,,,,,,,,
1890,environmental design,environmental design,,,,,,,
1891,l st,,,,,,,,
1892,masters of administrative scie,administrative science,,,1,,,,
1893,illustration,illustration,1,,,,,,
1894,in the liberal arts,liberal arts,1,,,,,,
1895,info,informational system technology,,,,,1,,
1896,systems,information system technology,,,,,1,,
1897,mechanical engr,mechanical engineering,,,,,1,,
1898,joke,,,,,,,,
1899,sculpture,sculpting,1,,,,,,
1900,near eastern,near eastern studies,,,,,,,
1901,supply chain manag,supply chain management,,,1,,,,
1902,bsee,electrical engineering,,,,,1,,
1903,rels,religion studies,,,,,,,
1904,information manageme,information management,,,1,,,,
1905,international rela,international relations,,,,,,,
1906,not as good as yours,,,,,,,,
1907,comp rel,computer science,,,,,1,,
1908,environmen,environmental science,,,,1,,,
1909,history hnrs,history,1,,,,,,
1910,women's stu,gender studies,,,,,,,
1911,theatre management,theatre management,,,1,,,,
1912,organizational commu,organizational communication,1,,,,,,
1913,trterter,,,,,,,,
1914,social science double major,social science,,,,,,,
1915,masters in public administrati,public administration,,,,,,,
1916,bioeng,bioengineering,,,,,1,,
1917,desig,design,1,,,,,,
1918,conservation,,,,,,,,
1919,man sci,science,,,,1,,,
1920,us hist,American history,1,,,,,,
1921,legal management,management,,,1,,,,
1922,world poli,international politics ,,,,,,,
1923,theater studies,theatre studies,1,,,,,,
1924,tv news,television production,1,,,,,,
1925,history minor in political sci,history,1,,,,,,
1926,occupational therapy,occupational therapy,,,,,,,
1927,crimino,criminology,,,,,,,
1928,social welf,social welfare studies,,,,,,,
1929,double lib arts,liberal arts,1,,,,,,
1930,emac,emerging media and communication,1,,,,,,
1931,public communications,communications,1,,,,,,
1932,'l stud,international studies,,,,,,,
1933,communication theory,communications,1,,,,,,
1934,general engineering,engineering,,,,,1,,
1935,ba music industry,music ,1,,,,,,
1936,triple major,,,,,,,,
1937,community studies,community studies,,,,,,,
1938,sociolo,sociology,,,,,,,
1939,fashion design,fashion design,1,,,,,,
1940,ed pol,education,,,,,,,
1941,peace studies,peace studies,,,,,,,
1942,finance concentra,finance,,,1,,,,
1943,man,,,,,,,,
1944,consumer science,consumer science,,,,,,,
1945,near eas,near eastern studies,,,,,,,
1946,minor spani,Spanish,1,,,,,,
1947,financial econ,financial economics,,,1,,,,
1948,in,,,,,,,,
1949,african american s,African American studies,,,,,,,
1950,pub health,pubic health,,,,,,1,
1951,elec eng,electrical engineering,,,,,1,,
1952,adolescent,adolescent education,,,,,,,
1953,aquatic,aquatic,,,,,,,
1954,fishery science,fishery science,,,,1,,,
1955,english studies,English,1,,,,,,
1956,dramatic literature,dramatic literature,1,,,,,,
1957,minor in cjs,criminal justice,,,,,,,
1958,psychology bs,psychology,,,,,,,
1959,wmst,gender studies,,,,,,,
1960,community devel,community development,,,,,,,
1961,appl,,,,,,,,
1962,organizational studi,organizational studies,,,,,,,
1963,double in economics,economics,,,1,,,,
1964,classical,classical studies,1,,,,,,
1965,international stu,international studies,,,,,,,
1966,quantitative analysi,quantitative analysis,,,,1,,,
1967,grad,,,,,,,,
1968,school,,,,,,,,
1969,leisure studies,,,,,,,,
1970,music min,music ,1,,,,,,
1971,near eastern languag,near eastern language,1,,,,,,
1972,science communication,science,,,,1,,,
1973,busecon,economics,,,1,,,,
1974,health services administration,health service administration,,,,,,1,
1975,ingles,,,,,,,,
1976,law administration,law,,,,,,,
1977,math double,mathematics,,,,1,,,
1978,l relation,labor relations,,,,,,,
1979,politcs,political science,,,,,,,
1980,urban st,urban studies,,,,,,,
1981,social sciences dual degree,social science,,,,,,,
1982,animal sciences,animal science,,,,1,,,
1983,political communication,political communication,,,,,,,
1984,entrepreneu,entrepreneurship,,,1,,,,
1985,soft,soft,,,,,,,
1986,dbl mjr,,,,,,,,
1987,pub pol,public policy,,,,,,,
1988,honors cell biology,cellular biology,,,,1,,,
1989,jd,law,,,,,,,
1990,mpp,public policy,,,,,,,
1991,philosophy politics,philosophy,1,,,,,,
1992,liberal arts major,liberal arts,1,,,,,,
1993,concentration in man,management,,,1,,,,
1994,information management,information management,,,1,,,,
1995,techn,,,,,,,,
1996,ops management,operation management,,,1,,,,
1997,analytics,analytics,,,,1,,,
1998,chemsitry,chemistry,,,,1,,,
1999,clothing,fashion design,1,,,,,,
2000,textiles,textile design,1,,,,,,
2001,apparel,fashion design,1,,,,,,
2002,humanities double major,humanities,1,,,,,,
2003,hard sciences,science,,,,1,,,
2004,slavic studies,Slavic studies,,,,,,,
2005,juv,,,,,,,,
2006,family justice,family justice,,,,,,,
2007,employment,,,,,,,,
2008,wgst,gender studies,,,,,,,
2009,bachelors,,,,,,,,
2010,ministeral,,,,,,,,
2011,international politi,international politics ,,,,,,,
2012,paralegal science,paralegal science,,,,,,,
2013,new media comm,new media communication,1,,,,,,
2014,blank,,,,,,,,
2015,administration of human servic,human service administration,,,,,,,
2016,entrepren,entrepreneurship,,,1,,,,
2017,middle eastern st,middle eastern studies,,,,,,,
2018,medical anthropology,anthropology,,,,,,,
2019,an,anthropology,,,,,,,
2020,regional studies,religion studies,,,,,,,
2021,lingu,linguistics,1,,,,,,
2022,'d,,,,,,,,
2023,health sciences,health science,,,,,,1,
2024,urban l,urban studies,,,,,,,
2025,aeronautical,aeronautical science,,,,1,,,
2026,mec,mechanical engineering,,,,,1,,
2027,phys minor,physics,,,,1,,,
2028,match,,,,,,,,
2029,prof comm,communications,1,,,,,,
2030,nutritional science,nutritional science,,,,1,,,
2031,cognitive studies,cognitive studies,,,,,,,
2032,double humantities,humanities,1,,,,,,
2033,public policy studie,public policy,,,,,,,
2034,human nutrition,human nutrition,,,,,,1,
2035,foods,food science,,,,1,,,
2036,crijus,criminal justice,,,,,,,
2037,compsci,computer science,,,,,1,,
2038,anthr,anthropology,,,,,,,
2039,intn'l studies,international studies,,,,,,,
2040,nuclear enginee,nuclear engineering,,,,,1,,
2041,comprehensive legal studies,legal studies,,,,,,,
2042,social studies education,social studies,,,,,,,
2043,multiplatform journalism,journalism,1,,,,,,
2044,master of arts,arts,1,,,,,,
2045,information,information system technology,,,,,1,,
2046,pollitical,political science,,,,,,,
2047,european,European studies,,,,,,,
2048,african diaspora studies,African studies,,,,,,,
2049,human res,human resource management,,,1,,,,
2050,public a,public affairs,,,,,,,
2051,japa,Japanese,1,,,,,,
2052,tech studi,technical studies,,,,,1,,
2053,city regional planni,city regional planning,,,,,,,
2054,law con,law,,,,,,,
2055,bba finance,finance,,,1,,,,
2056,bba marketing,marketing,,,1,,,,
2057,classical humanities,humanities,1,,,,,,
2058,legal stuides,legal studies,,,,,,,
2059,scape architecture,architecture,,,,,1,,
2060,real estate finance,real estate finance,,,1,,,,
2061,designed in environmental,environmental studies,,,,,,,
2062,human ecology,human ecology,,,,1,,,
2063,l rel,labor relations,,,,,,,
2064,bba management,management,,,1,,,,
2065,cj psych minor,psychology,,,,,,,
2066,lat,Latin,1,,,,,,
2067,amer,American studies,,,,,,,
2068,russian ba,Russian,1,,,,,,
2069,africana,African studies,,,,,,,
2070,spanish lit,Spanish literature,1,,,,,,
2071,ba sports med,kinesiology,,,,,,1,
2072,leadership studies,leadership studies,,,1,,,,
2073,rec,recreation management,,,1,,,,
2074,sport tourism,sports tourism,,,1,,,,
2075,honor,,,,,,,,
2076,bin,,,,,,,,
2077,'ess,,,,,,,,
2078,fine arts related,fine arts,1,,,,,,
2079,screenwriting,screen writing,1,,,,,,
2080,minor i,,,,,,,,
2081,businees,business,,,1,,,,
2082,bs econ psych,economics,,,1,,,,
2083,dual philosophy,philosophy,1,,,,,,
2084,east asian languages,east Asian languages,1,,,,,,
2085,religious studies an,religion studies,,,,,,,
2086,world politics,international politics ,,,,,,,
2087,international affiars,international affairs,,,,,,,
2088,rehab,rehabilitation sciences,,,,,,1,
2089,us law,law,,,,,,,
2090,corporate finance,finance,,,1,,,,
2091,infor,,,,,,,,
2092,mass communi,communication,1,,,,,,
2093,th century spanish literatur,Spanish literature,1,,,,,,
2094,womens s,gender studies,,,,,,,
2095,family sciences,family science,,,,,,,
2096,feminist studies,gender studies,,,,,,,
2097,rtf,,,,,,,,
2098,semiotics,semiotics,1,,,,,,
2099,biology specialization,biology,,,,1,,,
2100,risk analysis,risk analysis,,,1,,,,
2101,musical th,musical theatre,1,,,,,,
2102,biblical st,biblical studies,,,,,,,
2103,international criminal justice,criminal justice,,,,,,,
2104,communication x,communications,1,,,,,,
2105,labor mgt,labor management,,,1,,,,
2106,catchall,,,,,,,,
2107,linguist,linguistics,1,,,,,,
2108,legal stu,legal studies,,,,,,,
2109,public policy studies,public policy,,,,,,,
2110,plus,,,,,,,,
