College Name or Type,name_rev
uc system,University of California davis
"uc, riverside",University of California riverside
uc...,University of California davis
uc__,University of California davis
ucf (public),University of Central Florida
ucla - top public,University of California Los Angeles
ucla (public),University of California Los Angeles
ucla (woo hoo),University of California Los Angeles
ucla undergrad,University of California Los Angeles
"ucla, undergrad",University of California Los Angeles
ucla/public,University of California Los Angeles
uconn undergraduate,University of Connecticut
uc-public,university of california davis
uc-santa barbara,University of California santa barbara
ucsc,University of California Santa Cruz
ucsd - public,"University of California, San Diego"
ucsd / finished @ private,"University of California, San Diego"
ucwv,University of Charleston
uf brah,University of Florida
uf/fsu,Florida State University
ufv,foreign
ug - public,university of georgia
uga - 2002,University of Georgia
uga terry college of business,University of Georgia
uh-manoa,University of Hawaii at Manoa
uiowa,University of Iowa
"uiuc,  #5 cs",University of Illinois urbana champaign
ull,University of Louisiana lafayette
um,University of Michigan ann arbor
um ann arbor,University of Michigan ann arbor
um of duluth,University of Minnesota Duluth
umaryland,University of Maryland college park
umass - amherst,University of Massachusetts Amherst
umass amherst,University of Massachusetts Amherst
umass dartmouth,University of Massachusetts dartmouth
umass-amherst,University of Massachusetts Amherst
umass-boston,University of Massachusetts boston
umbc (maryland state school),"University of Maryland, Baltimore County"
um-flint,University of Michigan flint
umich,University of Michigan ann arbor
umn,University of Minnesota twin cities
umn tc,University of Minnesota twin cities
umsl,University of Missouri
umuc,University of Maryland University College
unc asheville,University of North Carolina asheville
unc undergrad,University of North Carolina chapel hill
unca,University of North Carolina asheville
unc-ch,University of North Carolina chapel hill
uncp,University of North Carolina pembroke
undergrad - elmira c,Elmira College
undergrad - kenyon c,Kenyon College
undergrad: yeshiva.,Yeshiva University
undergraduate lsu,Louisiana State University
uni of california,University of California davis
univ central fl,University of Central Florida
univ co at denver,University of Colorado Denver
univ of ca,University of California davis
univ of cal (public/research),university of california davis
univ of fla,University of Florida
univ of maryland,University of Maryland
univ southern cal,University of Southern California
univ. of az,University of Arizona
univ. of mn,University of Minnesota twin cities
univ. of pa,University of Pennsylvania
univ. of penn,University of Pennsylvania
univ. of penn.,University of Pennsylvania
univ. of s.car,University of South Carolina
univ. of sc,University of South Carolina
univ. of tenn.,University of Tennessee
univ. s. carolina,University of South Carolina
univeristy of california,university of california davis
univeristy of southe,neutral
universidad de puerto rico en,foreign
university of ca,University of California davis
"university of ca, sa",University of California san diego
university of cali,University of California davis
university of califo,University of California davis
university of california,University of California davis
university of california (mid,University of California davis
"university of california, los",University of California los Angeles
"university of california, rive",University of California riverside
"university of california, sc",University of California santa cruz
university of guam,foreign
university of kent,University of Kent
university of missouri - kc,University of Missouri kansas city
university of missouri- columb,University of Missouri
university of missouri-columbi,University of Missouri 
university of mn,University of Minnesota twin cities
university of nm,University of New Mexico
university of pa,University of Pennsylvania
university of pennys,University of Pennsylvania
university of pittsburgh at br,University of Pittsburgh bradford
university of pittsburgh cba,University of Pittsburgh
university of puerto rico,foreign
"university of puerto rico, rio",foreign
university of s. florida,University of South Florida
university of south,neutral
university of southe,neutral
university of tennessee at cha,University of Tennessee at Chattanooga
university of texas a&m,Texas A&M University college station
university of texas pan americ,university of texas rio grande valley
university of tn,University of Tennessee
university of va,University of Virginia
university of wa,University of Washington
university of wi,University of Wisconsin madison
unt - denton,University of North Texas
uom,university of minnesota twin cities
upenn (wharton),university of pennsylvania
"upenn, private, ivy",university of pennsylvania
usc - private,University of Southern California
usc-beaufort,University of South carolina beaufort
usma,United States Military Academy
usna,United States Naval Academy
ut - austin,University of Texas at Austin
ut permian basin,University of Texas of the Permian Basin
utk,University of Tennessee
utrecht university,foreign
utrgv,university of texas rio grande valley
uva - top public,University of Virginia
uw la crosse,University of wisconsin la crosse
uw-eau claire,University of wisconsin eau claire
uw-l,University of wisconsin la crosse
uw-la crosse,University of wisconsin la crosse
uw-top 50,University of washington
vanguard university,Vanguard University of southern california
vatech,Virginia Tech
very large state-arizona state,arizona State University tempe
wash u stl,Washington University in St. Louis
washington,Washington University in St. Louis
washington university,Washington University in St. Louis
wellesley. damn right.,Wellesley College
west chester univers,West Chester University of Pennsylvania
west chester university,West Chester University of Pennsylvania
"west coast, well-known private",stanford university
western ct state uni,Western Connecticut State University
western ct state univ.,Western Connecticut State University
western state university schoo,Western State Colorado University
william & mary,College of William & Mary
william paterson,william paterson university of new jersey
wisconsin,University of Wisconsin madison
wvu and asu,Arizona State University tempe
yale college,Yale University
yhp,yale University
marquette university,marquette university
st. bonaventure,st. bonaventure university
ole miss,university of mississippi
snhu,southern new hampshire university
univ of n.colorado,university of northern colorado
public (u of wi-superior),university of wisconsin superior
eiu,eastern illinois university
the citadel,the citadel
sewanee: the university of the,sewanee university of the south
sewanee,sewanee university of the south
the city college of ny,cuny city college
wnec,western new england university
carleton college,carleton college
depauw university,depauw university
mills college,mills college
citadel,the citadel
washington & lee university,washington and lee university
st. olaf,st. olaf college
